name,id
Минусинск,4865
Нальчик,4875
Междуреченск,4862
Муравленко,4870
Мегион,4859
Невинномысск,4878
Моршанск,4869
Невьянск,4879
Нарьян-Мар,4876
Мурманск,4871
Мичуринск,4867
Нижний Новгород,4885
Надым,4873
Мыски,4872
Назарово,4874
Магас,4853
Новоалтайск,4890
Николаевск-на-Амуре,4889
Нижнеудинск,4884
Нижневартовск,4883
Новороссийск,4896
Нефтекамск,4881
Новотроицк,4898
Нефтеюганск,4882
Новозыбков,4893
Новодвинск,4892
Новокузнецк,4894
Новоульяновск,4899
Новочеркасск,4902
Нерюнгри,4880
Нижняя Тура,4888
Новый Уренгой,4904
Ноябрьск,4906
Оренбург,4915
Обнинск,4908
Осинники,4918
Обь,4909
Норильск,4905
Павловск,4921
Орехово-Зуево,4916
Октябрьск,4911
Орск,4917
Оленегорск,4913
Островной,4919
"Кировская область, Первомайский пгт",4924
Омск,4914
Петропавловск-Камчатский,4931
Нововоронеж,4891
Партизанск,4922
Переславль-Залесский,4926
Петровск,4929
Полысаево,4938
Петергоф,4928
Пионерский,4933
Первоуральск,4925
Пермь,4927
Похвистнево,4942
Полярный,4940
Протвино,4945
"Республика Башкортостан, Подгорный с/с",4934
"Красноярский край, Потаповский с/с",4941
Полярные Зори,4939
Подольск,4935
Покачи,4936
Пугачев,4947
Печора,4932
Пыть-Ях,4950
Радужный,4953
Псков,4946
"Амурская область, Прогресс пгт",4943
Реутов,4958
Прокопьевск,4944
Радужный,4952
Рошаль,4960
Пущино,4949
Рассказово,4955
Ревда,4956
Салават,4964
Пятигорск,4951
Самара,4966
Петрозаводск,4930
Ростов-на-Дону,4959
"Республика Хакасия, Саяногорск",4971
Саратов,4969
Сарапул,4968
Реж,4957
Саров,4970
Светлогорск,4973
Северобайкальск,4976
Рязань,4963
Северск,4980
Саянск,4972
Сестрорецк,4984
Свободный,4975
Североморск,4978
Саранск,4967
Северодвинск,4977
Сибай,4985
Серов,4982
Смоленск,4987
Снежногорск,4989
Соликамск,4992
Сортавала,4994
Советск,4990
Рубцовск,4962
Сосногорск,4997
Сочи,4998
"Хабаровский край, Советская Гавань",4991
Среднеуральск,5000
Сухой Лог,5004
Снежинск,4988
Серпухов,4983
Спасск-Дальний,4999
Тайшет,5010
Тайга,5009
Салехард,4965
Татарск,5012
Тобольск,5014
"Республика Башкортостан, Ташкиновский с/с",5013
Сызрань,5005
"Московская область, Троицк",5019
Тула,5020
Таганрог,5008
Сургут,5003
Тында,5023
Тюмень,5024
Улан-Удэ,5026
Трехгорный,5017
Сыктывкар,5006
Тулун,5021
Томск,5016
"Республика Башкортостан, Туялясский с/с",5022
Усинск,5029
Ульяновск,5027
"Красноярский край, Усть-Авамский с/с",5032
Усть-Кут,5035
Уварово,5025
"Челябинская область, Трехгорный-1",5018
Усть-Катав,5034
Ханты-Мансийск,5041
Ухта,5036
Усолье-Сибирское,5030
Фокино,5037
Тольятти,5015
Чебоксары,5047
"Красноярский край, Хантайский с/с",5040
Челябинск,5048
Хасавюрт,5042
Черкесск,5051
Чусовой,5055
Химки,5044
Тамбов,5011
Уссурийск,5031
Череповец,5050
Шарыпово,5057
Чапаевск,5046
Черемхово,5049
Шимановск,5060
Хвалынск,5043
"Московская область, Юбилейный",5067
Элиста,5065
Чита,5053
Энгельс,5066
Шелехов,5059
Южноуральск,5071
Шиханы,5061
Яровое,5074
Южно-Сухокумск,5070
"Тюменская область, Абатский район",5077
Юрга,5072
"Краснодарский край, Абинский район",5080
"Челябинская область, Агаповский район",5082
"Красноярский край, Абанский район",5076
"Республика Башкортостан, Абзелиловский район",5079
Черногорск,5052
"Оренбургская область, Акбулакский район",5091
Южно-Сахалинск,5069
Ярославль,5075
Якутск,5073
"Ростовская область, Азовский район",5089
"Оренбургская область, Адамовский район",5086
"Ростовская область, Аксайский район",5092
"Свердловская область, Алапаевский район",5098
Югорск,5068
"Республика Дагестан, Агульский район",5085
"Чувашская Республика, Алатырский район",5100
"Владимирская область, Александровский район",5106
"Республика Татарстан, Аксубаевский район",5093
"Республика Татарстан, Актанышский район",5094
"Омская область, Азовский Немецкий Национальный район",5090
"Саратовская область, Александрово-Гайский район",5103
"Оренбургская область, Александровский район",5107
"Республика Татарстан, Азнакаевский район",5088
"Забайкальский край, Александрово-Заводский район",5104
"Томская область, Александровский район",5108
"Республика Дагестан, Акушинский район",5095
"Белгородская область, Алексеевский район",5111
"Удмуртская Республика, Алнашский район",5118
"Самарская область, Алексеевский район",5113
"Республика Саха (Якутия), Усть-Алданский улус",5101
"Алтайский край, Алтайский район",5120
"Республика Татарстан, Алексеевский район",5110
"Республика Северная Осетия - Алания, Алагирский район",5097
"Курганская область, Альменевский район",5122
"Волгоградская область, Алексеевский район",5112
"Чувашская Республика, Аликовский район",5116
"Республика Саха (Якутия), Амгинский улус",5125
"Республика Хакасия, Алтайский район",5119
"Камчатский край, Алеутский район",5115
"Чукотский автономный округ, Анадырский район",5128
"Краснодарский край, Анапский район",5129
"Тульская область, Алексинский район",5114
"Республика Башкортостан, Альшеевский район",5124
"Республика Саха (Якутия), Аллаиховский улус",5117
"Ставропольский край, Александровский район",5105
"Хабаровский край, Амурский район",5126
"Республика Татарстан, Алькеевский район",5121
"Республика Татарстан, Апастовский район",5138
"Краснодарский край, Апшеронский район",5139
"Тверская область, Андреапольский район",5131
"Челябинская область, Аргаяшский район",5141
"Республика Мордовия, Ардатовский район",5142
"Ставропольский край, Апанасенковский район",5137
"Республика Саха (Якутия), Анабарский Национальный улус",5127
"Приморский край, Анучинский район",5136
"Сахалинская область, Анивский район",5133
"Нижегородская область, Ардатовский район",5143
"Нижегородская область, Арзамасский район",5145
"Республика Северная Осетия - Алания, Ардонский район",5144
"Кировская область, Арбажский район",5140
"Свердловская область, Артемовский район",5152
"Тюменская область, Армизонский район",5148
"Костромская область, Антроповский район",5135
"Тюменская область, Аромашевский район",5149
"Тульская область, Арсеньевский район",5150
"Республика Татарстан, Арский район",5151
"Ставропольский край, Андроповский район",5132
"Республика Башкортостан, Архангельский район",5154
"Республика Хакасия, Аскизский район",5158
"Томская область, Асиновский район",5157
"Саратовская область, Аткарский район",5160
"Республика Татарстан, Альметьевский район",5123
"Саратовская область, Аркадакский район",5147
"Республика Дагестан, Ахтынский район",5168
"Астраханская область, Ахтубинский район",5167
"Свердловская область, Ачитский район",5170
"Оренбургская область, Асекеевский район",5156
"Кировская область, Афанасьевский район",5165
"Вологодская область, Бабаевский район",5174
"Республика Мордовия, Атяшевский район",5163
"Республика Дагестан, Бабаюртовский район",5175
"Республика Дагестан, Ахвахский район",5166
"Калужская область, Бабынинский район",5177
"Чеченская Республика, Ачхой-Мартановский район",5171
"Алтайский край, Баевский район",5182
"Ульяновская область, Базарносызганский район",5184
"Вологодская область, Бабушкинский район",5176
"Калининградская область, Багратионовский район",5181
"Воронежская область, Аннинский район",5134
"Республика Татарстан, Бавлинский район",5178
"Новосибирская область, Баганский район",5180
"Томская область, Бакчарский район",5190
"Кабардино-Балкарская Республика, Баксанский район",5189
"Иркутская область, Балаганский район",5191
"Ставропольский край, Арзгирский район",5146
"Республика Тыва, Бай-Тайгинский район",5187
"Саратовская область, Балаковский район",5192
"Забайкальский край, Балейский район",5198
"Республика Башкортостан, Балтачевский район",5201
"Республика Башкортостан, Бакалинский район",5188
"Пермский край, Бардымский район",5204
"Саратовская область, Балтайский район",5199
"Хабаровский край, Аяно-Майский район",5173
"Московская область, Балашихинский район",5195
"Республика Тыва, Барун-Хемчикский район",5205
"Саратовская область, Балашовский район",5196
"Ульяновская область, Барышский район",5206
"Республика Бурятия, Баргузинский район",5203
"Республика Бурятия, Баунтовский эвенкийский район",5210
"Республика Башкортостан, Белебеевский район",5219
"Пензенская область, Бековский район",5217
"Нижегородская область, Балахнинский район",5193
"Красноярский край, Балахтинский район",5194
"Пензенская область, Белинский район",5221
"Тверская область, Бежецкий район",5214
"Курская область, Беловский район",5223
"Республика Карелия, Беломорский район",5230
"Республика Башкортостан, Белокатайский район",5229
"Свердловская область, Белоярский район",5234
"Вологодская область, Белозерский район",5226
"Красноярский край, Березовский район",5239
"Алтайский край, Бийский район",5245
"Тверская область, Бельский район",5236
"Хабаровский край, Бикинский район",5246
"Чувашская Республика, Батыревский район",5209
"Республика Башкортостан, Бирский район",5250
"Амурская область, Белогорский район",5225
"Чукотский автономный округ, Билибинский район",5247
"Республика Башкортостан, Бижбулякский район",5244
"Республика Башкортостан, Благовещенский район",5253
"Красноярский край, Бирилюсский район",5248
"Республика Башкортостан, Благоварский район",5252
"Пензенская область, Бессоновский район",5243
"Свердловская область, Богдановичский район",5259
"Красноярский край, Богучанский район",5265
"Тульская область, Белевский район",5220
"Нижегородская область, Богородский район",5262
"Самарская область, Богатовский район",5258
"Тульская область, Богородицкий район",5260
"Ленинградская область, Бокситогорский район",5269
"Республика Бурятия, Бичурский район",5251
"Алтайский край, Благовещенский район",5254
"Амурская область, Благовещенский район",5255
"Ставропольский край, Благодарненский район",5256
"Новосибирская область, Болотнинский район",5271
"Воронежская область, Богучарский район",5266
"Нижегородская область, Большемурашкинский район",5277
"Красноярский край, Большемуртинский район",5278
"Ростовская область, Боковский район",5268
"Тверская область, Бологовский район",5270
"Нижегородская область, Большеболдинский район",5274
"Ярославская область, Большесельский район",5280
"Орловская область, Болховский район",5272
"Белгородская область, Борисовский район",5288
"Иркутская область, Бодайбинский район",5267
"Самарская область, Большеглушицкий район",5275
"Омская область, Большеуковский район",5283
"Самарская область, Большечерниговский район",5285
"Пермский край, Большесосновский район",5282
"Республика Дагестан, Ботлихский район",5295
"Иркутская область, Боханский район",5296
"Республика Мордовия, Большеигнатовский район",5276
"Нижегородская область, Борский район",5293
"Калужская область, Боровский район",5292
"Самарская область, Борский район",5294
"Челябинская область, Брединский район",5299
"Иркутская область, Братский район",5298
"Воронежская область, Борисоглебский район",5289
"Ярославская область, Брейтовский район",5300
"Брянская область, Брянский район",5302
"Республика Татарстан, Буинский район",5308
"Краснодарский край, Брюховецкий район",5301
"Кировская область, Богородский район",5261
"Республика Башкортостан, Бураевский район",5312
"Амурская область, Бурейский район",5313
"Оренбургская область, Бугурусланский район",5304
"Оренбургская область, Бузулукский район",5307
"Воронежская область, Бутурлиновский район",5316
"Тамбовская область, Бондарский район",5286
"Республика Башкортостан, Бурзянский район",5314
"Брянская область, Брасовский район",5297
"Республика Татарстан, Бугульминский район",5303
"Пензенская область, Вадинский район",5323
"Нижегородская область, Бутурлинский район",5317
"Удмуртская Республика, Вавожский район",5321
"Новгородская область, Валдайский район",5325
"Белгородская область, Валуйский район",5326
"Нижегородская область, Варнавинский район",5329
"Курганская область, Варгашинский район",5328
"Алтайский край, Бурлинский район",5315
"Камчатский край, Быстринский район",5319
"Челябинская область, Варненский район",5330
"Тюменская область, Вагайский район",5322
"Чеченская Республика, Веденский район",5333
"Хабаровский край, Ванинский район",5327
"Волгоградская область, Быковский район",5318
"Вологодская область, Великоустюгский район",5337
"Алтайский край, Быстроистокский район",5320
"Новосибирская область, Венгеровский район",5339
"Республика Саха (Якутия), Верхневилюйский улус",5343
"Хабаровский край, Верхнебуреинский район",5342
"Смоленская область, Велижский район",5335
"Псковская область, Великолукский район",5336
"Кировская область, Верхнекамский район",5345
"Челябинская область, Верхнеуральский район",5352
"Нижегородская область, Вадский район",5324
"Вологодская область, Вашкинский район",5332
"Ивановская область, Верхнеландеховский район",5348
"Свердловская область, Верхнесалдинский район",5350
"Томская область, Верхнекетский район",5346
"Нижегородская область, Вачский район",5331
"Республика Татарстан, Верхнеуслонский район",5353
"Пермский край, Верещагинский район",5341
"Воронежская область, Верхнехавский район",5354
"Ростовская область, Веселовский район",5360
"Белгородская область, Вейделевский район",5334
"Воронежская область, Верхнемамонский район",5349
"Свердловская область, Верхотурский район",5357
"Тверская область, Весьегонский район",5361
"Республика Саха (Якутия), Верхоянский улус",5359
"Тюменская область, Викуловский район",5364
"Орловская область, Верховский район",5356
"Нижегородская область, Ветлужский район",5362
"Вологодская область, Верховажский район",5355
"Нижегородская область, Вознесенский район",5370
"Архангельская область, Виноградовский район",5367
"Республика Саха (Якутия), Вилюйский улус",5366
"Ростовская область, Верхнедонской район",5344
"Кировская область, Верхошижемский район",5358
"Архангельская область, Верхнетоемский район",5351
"Тульская область, Воловский район",5375
"Ленинградская область, Волосовский район",5381
"Вологодская область, Вологодский район",5376
"Саратовская область, Вольский район",5385
"Нижегородская область, Володарский район",5378
"Астраханская область, Володарский район",5377
"Ульяновская область, Вешкаймский район",5363
"Московская область, Воскресенский район",5388
"Саратовская область, Воскресенский район",5390
"Нижегородская область, Воскресенский район",5389
"Ленинградская область, Всеволожский район",5393
"Брянская область, Выгоничский район",5396
"Алтайский край, Волчихинский район",5384
"Костромская область, Вохомский район",5392
"Чувашская Республика, Вурнарский район",5394
"Белгородская область, Волоконовский район",5380
"Вологодская область, Вытегорский район",5400
"Ленинградская область, Выборгский район",5395
"Тверская область, Вышневолоцкий район",5401
"Ленинградская область, Волховский район",5383
"Нижегородская область, Воротынский район",5387
"Удмуртская Республика, Воткинский район",5391
"Кировская область, Вятскополянский район",5405
"Республика Татарстан, Высокогорский район",5399
"Ивановская область, Гаврилово-Посадский район",5406
"Воронежская область, Воробьевский район",5386
"Ярославская область, Гаврилов-Ямский район",5408
"Хабаровский край, Вяземский район",5402
"Новгородская область, Волотовский район",5382
"Свердловская область, Гаринский район",5415
"Ленинградская область, Гатчинский район",5416
"Нижегородская область, Гагинский район",5410
"Краснодарский край, Выселковский район",5398
"Калининградская область, Гвардейский район",5418
"Смоленская область, Гагаринский район",5409
"Забайкальский край, Газимуро-Заводский район",5411
"Орловская область, Глазуновский район",5424
"Костромская область, Галичский район",5414
"Оренбургская область, Гайский район",5413
"Республика Башкортостан, Гафурийский район",5417
"Владимирская область, Вязниковский район",5404
"Курская область, Глушковский район",5426
"Ставропольский край, Георгиевский район",5420
"Республика Адыгея, Гиагинский район",5422
"Республика Дагестан, Гергебильский район",5421
"Республика Саха (Якутия), Горный улус",5431
"Нижегородская область, Городецкий район",5432
"Волгоградская область, Городищенский район",5433
"Тюменская область, Голышмановский район",5427
"Пензенская область, Городищенский район",5434
"Республика Калмыкия, Городовиковский район",5435
"Псковская область, Гдовский район",5419
"Ставропольский край, Грачевский район",5441
"Липецкая область, Грязинский район",5445
"Оренбургская область, Грачевский район",5442
"Омская область, Горьковский район",5438
"Чеченская Республика, Грозненский район",5444
"Воронежская область, Грибановский район",5443
"Белгородская область, Грайворонский район",5439
"Курская область, Горшеченский район",5437
"Удмуртская Республика, Граховский район",5440
"Кемеровская область, Гурьевский район",5453
"Республика Дагестан, Гунибский район",5451
"Калининградская область, Гурьевский район",5452
"Приморский край, Дальнегорский район",5458
"Республика Дагестан, Гумбетовский район",5450
"Пермский край, Горнозаводский район",5429
"Владимирская область, Гороховецкий район",5436
"Кировская область, Даровской район",5464
"Владимирская область, Гусь-Хрустальный район",5455
"Калининградская область, Гусевский район",5454
"Ярославская область, Даниловский район",5462
"Волгоградская область, Даниловский район",5461
"Краснодарский край, Гулькевичский район",5449
"Липецкая область, Данковский район",5463
"Приморский край, Дальнереченский район",5460
"Нижегородская область, Дальнеконстантиновский район",5459
"Курганская область, Далматовский район",5457
"Удмуртская Республика, Дебесский район",5466
"Республика Дагестан, Дахадаевский район",5465
"Калужская область, Дзержинский район",5475
"Республика Башкортостан, Давлекановский район",5456
"Саратовская область, Дергачевский район",5471
"Республика Тыва, Дзун-Хемчикский район",5476
"Новгородская область, Демянский район",5469
"Красноярский край, Дзержинский район",5474
"Чеченская Республика, Гудермесский район",5448
"Республика Дагестан, Дербентский район",5470
"Республика Северная Осетия - Алания, Дигорский район",5478
"Красноярский край, Диксонский район",5479
"Краснодарский край, Динской район",5480
"Нижегородская область, Дивеевский район",5477
"Орловская область, Дмитровский район",5483
"Республика Бурятия, Джидинский район",5473
"Московская область, Дмитровский городской округ",5482
"Липецкая область, Добровский район",5486
"Республика Ингушетия, Джейрахский район",5472
"Псковская область, Дновский район",5484
"Курская область, Дмитриевский район",5481
"Липецкая область, Добринский район",5485
"Республика Дагестан, Докузпаринский район",5488
"Сахалинская область, Долинский район",5491
"Московская область, Домодедовский район",5493
"Псковская область, Дедовичский район",5467
"Брянская область, Дятьковский район",5507
"Смоленская область, Ершичский район",5530
"Орловская область, Должанский район",5490
"Новосибирская область, Здвинский район",5565
"Карачаево-Черкесская Республика, Зеленчукский район",5569
"Липецкая область, Долгоруковский район",5489
"Самарская область, Исаклинский район",5620
"Республика Дагестан, Кайтагский район",5645
